Instrument,Quote,Convexity adjustment,Underlying,Underlying start date,Underlying end date
FUT 3MZ2,99.8225,0.0000,Euribor3M,19 Dec 2012,19 Mar 2013
FUT 3MF3,99.8475,0.0000,Euribor3M,16 Jan 2013,16 Apr 2013
FUT 3MG3,99.8550,0.0001,Euribor3M,20 Feb 2013,20 May 2013
FUT 3MH3,99.8725,0.0001,Euribor3M,20 Mar 2013,20 Jun 2013
FUT 3MM3,99.8775,0.0003,Euribor3M,19 Jun 2013,19 Sep 2013
FUT 3MU3,99.8725,0.0006,Euribor3M,18 Sep 2013,18 Dec 2013
FUT 3MZ3,99.8425,0.0009,Euribor3M,18 Dec 2013,18 Mar 2014
FUT 3MH4,99.8025,0.0013,Euribor3M,19 Mar 2014,19 Jun 2014
FUT 3MM4,99.7425,0.0018,Euribor3M,18 Jun 2014,18 Sep 2014
FUT 3MU4,99.6875,0.0024,Euribor3M,17 Sep 2014,17 Dec 2014
FUT 3MZ4,99.6175,0.0030,Euribor3M,17 Dec 2014,17 Mar 2015
FUT 3MH5,99.5575,0.0036,Euribor3M,18 Mar 2015,18 Jun 2015
FUT 3MM5,99.4775,0.0044,Euribor3M,17 Jun 2015,17 Sep 2015
FUT 3MU5,99.3825,0.0051,Euribor3M,16 Sep 2015,16 Dec 2015
FUT 3MZ5,99.2775,0.0060,Euribor3M,16 Dec 2015,16 Mar 2016
FUT 3MH6,99.1675,0.0069,Euribor3M,16 Mar 2016,16 Jun 2016
FUT 3MM6,99.0375,0.0079,Euribor3M,15 Jun 2016,15 Sep 2016
FUT 3MU6,98.9100,0.0090,Euribor3M,21 Sep 2016,21 Dec 2016
FUT 3MZ6,98.7775,0.0100,Euribor3M,21 Dec 2016,21 Mar 2017
FUT 3MH7,98.6575,0.0111,Euribor3M,15 Mar 2017,15 Jun 2017
FUT 3MM7,98.5325,0.0124,Euribor3M,21 Jun 2017,21 Sep 2017
FUT 3MU7,98.4125,0.0136,Euribor3M,20 Sep 2017,20 Dec 2017
