Instrument,Quote,Underlying 1st leg,Underlying 2nd leg,Start date,Maturity date
1E6E1Y,22.20,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2013
1E6E2Y,22.60,Euribor1M,Euribor6M,13 Dec 2012,15 Dec 2014
1E6E3Y,23.80,Euribor1M,Euribor6M,13 Dec 2012,14 Dec 2015
1E6E4Y,24.60,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2016
1E6E5Y,25.00,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2017
1E6E6Y,25.00,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2018
1E6E7Y,24.80,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2019
1E6E8Y,24.50,Euribor1M,Euribor6M,13 Dec 2012,14 Dec 2020
1E6E9Y,24.10,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2021
1E6E10Y,23.70,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2022
1E6E11Y,23.30,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2023
1E6E12Y,22.80,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2024
1E6E15Y,21.10,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2027
1E6E20Y,18.90,Euribor1M,Euribor6M,13 Dec 2012,13 Dec 2032
1E6E25Y,17.50,Euribor1M,Euribor6M,13 Dec 2012,14 Dec 2037
1E6E30Y,16.30,Euribor1M,Euribor6M,13 Dec 2012,15 Dec 2042
3E6E1Y,14.50,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2013
3E6E2Y,13.80,Euribor3M,Euribor6M,13 Dec 2012,15 Dec 2014
3E6E3Y,13.95,Euribor3M,Euribor6M,13 Dec 2012,14 Dec 2015
3E6E4Y,13.90,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2016
3E6E5Y,13.95,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2017
3E6E6Y,13.75,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2018
3E6E7Y,13.50,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2019
3E6E8Y,13.20,Euribor3M,Euribor6M,13 Dec 2012,14 Dec 2020
3E6E9Y,12.85,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2021
3E6E10Y,12.50,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2022
3E6E11Y,12.15,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2023
3E6E12Y,11.70,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2024
3E6E15Y,10.45,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2027
3E6E20Y,8.85,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2032
3E6E25Y,7.80,Euribor3M,Euribor6M,13 Dec 2012,14 Dec 2037
3E6E30Y,7.00,Euribor3M,Euribor6M,13 Dec 2012,15 Dec 2042
3E6E40Y,6.00,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2052
3E6E50Y,5.40,Euribor3M,Euribor6M,13 Dec 2012,13 Dec 2062
6E12E1Y,26.20,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2013
6E12E2Y,20.70,Euribor6M,Euribor12M,13 Dec 2012,15 Dec 2014
6E12E3Y,17.90,Euribor6M,Euribor12M,13 Dec 2012,14 Dec 2015
6E12E4Y,16.40,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2016
6E12E5Y,15.10,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2017
6E12E6Y,13.90,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2018
6E12E7Y,13.00,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2019
6E12E8Y,12.30,Euribor6M,Euribor12M,13 Dec 2012,14 Dec 2020
6E12E9Y,11.80,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2021
6E12E10Y,11.30,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2022
6E12E11Y,10.90,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2023
6E12E12Y,10.60,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2024
6E12E15Y,9.30,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2027
6E12E20Y,8.00,Euribor6M,Euribor12M,13 Dec 2012,13 Dec 2032
6E12E25Y,7.20,Euribor6M,Euribor12M,13 Dec 2012,14 Dec 2037
6E12E30Y,6.60,Euribor6M,Euribor12M,13 Dec 2012,15 Dec 2042
