Instrument,Quote,Underlying,Start date,Maturity
AB6E1Y,0.286,Euribor6M,13 Dec 2012,13 Dec 2013
AB6E15M,0.250,Euribor6M,13 Dec 2012,13 Mar 2014
AB6E18M,0.293,Euribor6M,13 Dec 2012,13 Jun 2014
AB6E21M,0.282,Euribor6M,13 Dec 2012,15 Sep 2014
AB6E2Y,0.324,Euribor6M,13 Dec 2012,15 Dec 2014
AB6E3Y,0.424,Euribor6M,13 Dec 2012,14 Dec 2015
AB6E4Y,0.576,Euribor6M,13 Dec 2012,13 Dec 2016
AB6E5Y,0.762,Euribor6M,13 Dec 2012,13 Dec 2017
AB6E6Y,0.954,Euribor6M,13 Dec 2012,13 Dec 2018
AB6E7Y,1.135,Euribor6M,13 Dec 2012,13 Dec 2019
AB6E8Y,1.303,Euribor6M,13 Dec 2012,14 Dec 2020
AB6E9Y,1.452,Euribor6M,13 Dec 2012,13 Dec 2021
AB6E10Y,1.584,Euribor6M,13 Dec 2012,13 Dec 2022
AB6E11Y,1.703,Euribor6M,13 Dec 2012,13 Dec 2023
AB6E12Y,1.809,Euribor6M,13 Dec 2012,13 Dec 2024
AB6E13Y,1.901,Euribor6M,13 Dec 2012,15 Dec 2025
AB6E14Y,1.976,Euribor6M,13 Dec 2012,14 Dec 2026
AB6E15Y,2.037,Euribor6M,13 Dec 2012,13 Dec 2027
AB6E16Y,2.086,Euribor6M,13 Dec 2012,13 Dec 2028
AB6E17Y,2.123,Euribor6M,13 Dec 2012,13 Dec 2029
AB6E18Y,2.150,Euribor6M,13 Dec 2012,13 Dec 2030
AB6E19Y,2.171,Euribor6M,13 Dec 2012,15 Dec 2031
AB6E20Y,2.187,Euribor6M,13 Dec 2012,13 Dec 2032
AB6E21Y,2.200,Euribor6M,13 Dec 2012,13 Dec 2033
AB6E22Y,2.211,Euribor6M,13 Dec 2012,13 Dec 2034
AB6E23Y,2.220,Euribor6M,13 Dec 2012,13 Dec 2035
AB6E24Y,2.228,Euribor6M,13 Dec 2012,15 Dec 2036
AB6E25Y,2.234,Euribor6M,13 Dec 2012,14 Dec 2037
AB6E26Y,2.239,Euribor6M,13 Dec 2012,13 Dec 2038
AB6E27Y,2.243,Euribor6M,13 Dec 2012,13 Dec 2039
AB6E28Y,2.247,Euribor6M,13 Dec 2012,13 Dec 2040
AB6E29Y,2.251,Euribor6M,13 Dec 2012,13 Dec 2041
AB6E30Y,2.256,Euribor6M,13 Dec 2012,15 Dec 2042
AB6E35Y,2.295,Euribor6M,13 Dec 2012,13 Dec 2047
AB6E40Y,2.348,Euribor6M,13 Dec 2012,13 Dec 2052
AB6E50Y,2.421,Euribor6M,13 Dec 2012,13 Dec 2062
AB6E60Y,2.463,Euribor6M,13 Dec 2012,13 Dec 2072
AB3E1Y,0.141,Euribor3M,13 Dec 2012,13 Dec 2013
AB3E15M,0.144,Euribor3M,13 Dec 2012,13 Mar 2014
AB3E18M,0.153,Euribor3M,13 Dec 2012,13 Jun 2014
AB3E21M,0.168,Euribor3M,13 Dec 2012,15 Sep 2014
AB3E2Y,0.186,Euribor3M,13 Dec 2012,15 Dec 2014
AB3E3Y,0.285,Euribor3M,13 Dec 2012,14 Dec 2015
AB3E4Y,0.437,Euribor3M,13 Dec 2012,13 Dec 2016
AB3E5Y,0.623,Euribor3M,13 Dec 2012,13 Dec 2017
AB3E6Y,0.817,Euribor3M,13 Dec 2012,13 Dec 2018
AB3E7Y,1.000,Euribor3M,13 Dec 2012,13 Dec 2019
AB3E8Y,1.171,Euribor3M,13 Dec 2012,14 Dec 2020
AB3E9Y,1.324,Euribor3M,13 Dec 2012,13 Dec 2021
AB3E10Y,1.459,Euribor3M,13 Dec 2012,13 Dec 2022
AB3E11Y,1.582,Euribor3M,13 Dec 2012,13 Dec 2023
AB3E12Y,1.692,Euribor3M,13 Dec 2012,13 Dec 2024
AB3E15Y,1.933,Euribor3M,13 Dec 2012,13 Dec 2027
AB3E20Y,2.099,Euribor3M,13 Dec 2012,13 Dec 2032
AB3E25Y,2.156,Euribor3M,13 Dec 2012,14 Dec 2037
AB3E30Y,2.186,Euribor3M,13 Dec 2012,15 Dec 2042
AB3E40Y,2.288,Euribor3M,13 Dec 2012,13 Dec 2052
AB3E50Y,2.367,Euribor3M,13 Dec 2012,13 Dec 2062
AB3EZ2,0.138,Euribor3M,19 Dec 2012,19 Dec 2013
AB3EH3,0.134,Euribor3M,20 Mar 2013,20 Mar 2014
AB3EM3,0.151,Euribor3M,19 Jun 2013,19 Jun 2014
AB3EU3,0.183,Euribor3M,18 Sep 2013,18 Sep 2014
AB3EZ3,0.183,Euribor3M,18 Dec 2013,18 Dec 2015
AB3EH4,0.208,Euribor3M,19 Mar 2014,21 Mar 2016
AB3EZ4,0.283,Euribor3M,17 Dec 2014,18 Dec 2017
AB1E2M,0.106,Euribor1M,13 Dec 2012,13 Feb 2013
AB1E3M,0.096,Euribor1M,13 Dec 2012,13 Mar 2013
AB1E4M,0.085,Euribor1M,13 Dec 2012,15 Apr 2013
AB1E5M,0.079,Euribor1M,13 Dec 2012,13 May 2013
AB1E6M,0.075,Euribor1M,13 Dec 2012,13 Jun 2013
AB1E7M,0.071,Euribor1M,13 Dec 2012,15 Jul 2013
AB1E8M,0.069,Euribor1M,13 Dec 2012,13 Aug 2013
AB1E9M,0.066,Euribor1M,13 Dec 2012,13 Sep 2013
AB1E10M,0.065,Euribor1M,13 Dec 2012,14 Oct 2013
AB1E11M,0.064,Euribor1M,13 Dec 2012,13 Nov 2013
AB1E12M,0.063,Euribor1M,13 Dec 2012,13 Dec 2013
